Subject,Topic,SubTopic,Question,Answer,Done,ReviewLater,Duplicate,NotImportant,Starred,Failed,Visited,Difficulty,Order,SubjectOrder,TopicOrder,SubTopicOrder,SrsDue,SrsStreak,DoneCount,DoneHistory,FailedCount,FailedHistory,ReviewLaterCount,ReviewLaterHistory,Tags,Links,UpdatedAt
OOP,General,General,What is OOP and why it matters,<ul><li><li><strong>What it is:</strong> A programming paradigm represents real-world entities as classes and objects.</li><li><strong>Why we need it:</strong><ul><li><strong>Reusability:</strong> Write code once and use it again with inheritance.</li><li><strong>Maintenance:</strong> Fix bugs fast because code is split into small pieces.</li><li><strong>Security:</strong> Hide data using encapsulation so it stays safe.</li><li><strong>Scalability:</strong> Grow big software easily without breaking old code.</li></ul></li></li></ul>,false,true,false,false,false,false,false,,0,1,0,0,2026-08-21,0,0,,0,,1,"[{""ts"":1787282780488}]",,,1787282780488
OOP,General,General,Characteristics of an OOP,<ul><li> Core Building Blocks <ul><li>Class</li><li>Object</li></ul></li><li> The Four Main Principles <ul><li>Encapsulation</li><li>Inheritance</li><li>Polymorphism</li><li>Abstraction</li></ul></li><li> Supporting Characteristics <ul><li>Message Passing</li><li>Dynamic Binding</li><li>Aggregation and Composition</li></ul></li></ul>,false,true,false,false,false,false,false,,1,1,0,0,2026-08-18,0,0,,0,,1,"[{""ts"":1787282780488}]",,,1787282780488
OOP,Pillars Of OOP,4 Pillars Of OOP,Explain with examples,<ul><li>Encapsulation</li><li>Inheritance</li><li>Polymorphism</li><li>Abstraction</li></ul>,true,false,false,false,false,false,false,,0,1,0,1,2026-08-18,1,1,"[{""ts"":1787282780488}]",0,,0,,,,1787282780488
OOP,Pillars Of OOP,Encapsulation,Definition,"<ul><li>We cant access variable/method inside class directly. its possible only with object this is called encapsulation</li><li><strong>Restricted Access:</strong> Class variables and methods cannot be accessed directly—they require an object instance to be used.</li><li><strong>State Control:</strong> Prevents objects from being created or modified into invalid states by enforcing strict input validation.</li><li><strong>Enhanced Security:</strong> Keeps internal logic hidden using private access modifiers to prevent unauthorized modifications.</li><li><strong>Thread Safety &amp; Immutability:</strong> Makes objects easier to keep immutable, which naturally prevents data corruption during multithreading.</li></ul>",true,false,false,false,false,false,false,,0,1,0,2,2026-08-18,1,1,"[{""ts"":1787282780488}]",0,,0,,,,1787282780488
OOP,Pillars Of OOP,Encapsulation,How is it achieved,,true,false,false,false,false,false,false,,0,1,0,2,2026-08-18,1,1,"[{""ts"":1787282780488}]",0,,0,,,,1787282780488
OOP,Pillars Of OOP,Encapsulation,What are all the benefits,,false,true,false,false,false,false,false,,0,1,0,2,2026-08-18,0,0,,0,,1,"[{""ts"":1787282780488}]",,,1787282780488
OOP,Pillars Of OOP,Encapsulation,Explain State Control by encapsulation using one example,,true,false,false,false,false,false,false,,0,1,0,2,2026-08-18,1,1,"[{""ts"":1787282780488}]",0,,0,,,,1787282780488
OOP,Pillars Of OOP,Encapsulation,Access modifiers,"<ul><li>Access modifiers as the keywords that control class, method, and variable visibility.</li><li><strong>Key Types and Scope</strong><ul><li><strong>Public:</strong> Accessible from anywhere in the project</li><li><strong>Protected:</strong> Accessible within the same package and by subclasses in other packages.</li><li><strong>Default:</strong> Accessible only within its own package.</li><li><strong>Private:</strong> Accessible only inside the declaring class</li></ul></li><li><strong>Mention Encapsulation:</strong> Say that access modifiers are the core tool for data hiding and encapsulation in OOP</li></ul>",true,false,false,false,false,false,false,,0,1,0,2,2026-08-18,1,1,"[{""ts"":1787282780488}]",0,,0,,,,1787282780488
OOP,Pillars Of OOP,Abstraction,Definition,<ul><li>Abstraction in is the core practice of hiding complex internal code and showing only the essential features to the user.</li><li>provides contract for the class implementing the method</li><li>Acheived thrugh interface (fully) & abstract classes (partially)</li><li>Focus on what is can do over how it is done</li></ul>,true,false,false,false,false,false,false,,0,1,0,3,2026-08-18,1,1,"[{""ts"":1787282780488}]",0,,0,,,,1787282780488
OOP,Pillars Of OOP,Abstraction,How is it achieved,,true,false,false,false,false,false,false,,0,1,0,3,2026-08-18,1,1,"[{""ts"":1787282780488}]",0,,0,,,,1787282780488
